model,capacity,code,year_of_manufacture,thumb
ERJ 170,80,EJ170,2004,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ERJ_170.jpg
ERJ 175,88,EJ175,2005,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ERJ_175.jpg
ERJ 190,114,EJ190,2006,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ERJ_190.jpg
ERJ 195,122,EJ195,2006,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/ERJ_195.jpg
Fokker 70,85,F70,1994,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Fokker_70.jpg
Fokker 100 Rolls Royce Tay 620,122,F100,1986,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Fokker_100_Rolls_Royce_Tay_620.jpg
Fokker 100 Rolls Royce Tay 650,122,F100,1986,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/Fokker_100_Rolls_Royce_Tay_650.jpg
L1011-1,400,L1011,1972,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/L1011-1.jpg
L1011-200,400,L1012,1975,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/L1011-200.jpg
L-1011-500,330,L1015,1978,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/L-1011-500.jpg
DC-10-10,399,DC10,1971,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_10-10.jpg
DC-10-30,380,DC10,1972,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_10-30.jpg
DC-10-40,399,DC10,1973,https://s3.us-west-004.backblazeb2.com/encurate/static/airplanes/DC_10-40.jpg
